Startup Name,  Total Budget,Growth Rate,Marketing,R&D,Operations,Sales,Logistics
Innoventure Labs,"₹ 1,200,000.00",15.20%,"₹ 95,893.08","₹ 613,486.50","₹ 269,178.66","₹ 186,544.59"," ₹35,392.12"
Nexora Solutions,"₹ 1,200,000.00",12.50%,"₹ 198,000.00","₹ 210,000.00","₹ 480,000.00","₹ 246,000.00","₹ 66,000.00"
BrightWave Innovations,"₹ 750,000.00",9.80%,"₹ 132,450.00","₹ 157,350.00","₹ 315,000.00","₹ 105,750.00","₹ 39,450.00"
EcoSphere Dynamics,"₹ 980,000.00",11.30%,"₹ 186,740.00","₹ 176,400.00","₹ 392,000.00","₹ 176,400.00","₹ 48,460.00"
QuantumEdge AI,"₹ 650,000.00",8.20%,"₹ 104,150.00","₹ 143,000.00","₹ 260,000.00","₹ 104,000.00","₹ 38,850.00"
UrbanHive Technologies,"₹ 1,100,000.00",14.20%,"₹ 246,100.00","₹ 213,400.00","₹ 440,000.00","₹ 165,000.00","₹ 35,500.00"
AeroVista Systems,"₹ 870,000.00",10.90%,"₹ 150,930.00","₹ 187,110.00","₹ 348,000.00","₹ 139,200.00","₹ 44,760.00"
GreenGrove Tech,"₹ 1,400,000.00",13.60%,"₹ 254,800.00","₹ 280,800.00","₹ 560,000.00","₹ 210,000.00","₹ 94,400.00"
CloudZenith Solutions,"₹ 600,000.00",7.40%,"₹ 102,600.00","₹ 126,600.00","₹ 240,000.00","₹ 84,000.00","₹ 46,800.00"
BlueOrbit Robotics,"₹ 970,000.00",9.50%,"₹ 183,150.00","₹ 174,600.00","₹ 388,000.00","₹ 155,200.00","₹ 69,050.00"
SmartHarvest AgriTech,"₹ 800,000.00",8.80%,"₹ 144,800.00","₹ 152,000.00","₹ 320,000.00","₹ 128,000.00","₹ 55,200.00"
PulseLink Healthcare,"₹ 1,050,000.00",10.20%,"₹ 188,400.00","₹ 220,500.00","₹ 420,000.00","₹ 168,000.00","₹ 53,100.00"
NeoGrid Energy,"₹ 690,000.00",7.60%,"₹ 114,540.00","₹ 124,200.00","₹ 276,000.00","₹ 110,400.00","₹ 45,360.00"
LuminoPath AI,"₹ 1,350,000.00",14.50%,"₹ 248,625.00","₹ 256,500.00","₹ 540,000.00","₹ 202,500.00","₹ 102,375.00"
NextGen Nexus,"₹ 920,000.00",9.00%,"₹ 166,800.00","₹ 184,000.00","₹ 368,000.00","₹ 147,200.00","₹ 53,800.00"
VeloCity Ventures,"₹ 830,000.00",8.40%,"₹ 149,400.00","₹ 165,600.00","₹ 332,000.00","₹ 132,800.00","₹ 50,200.00"
SolarFlow Systems,"₹ 560,000.00",6.80%,"₹ 89,600.00","₹ 112,000.00","₹ 224,000.00","₹ 89,600.00","₹ 44,800.00"
